Dialogue_History,Strategy_History,Speaker_Turn,Gold_Standard,Next_Strategy
"Mm-hmm. </s> What's that been like for you in the past? </s> Uh, it's been okay. Um, it hasn't been bad. </s> Right. </s> I don't know. Kind of nothing, really.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,Okay. Similar sort of offending in the past that's brought you back again this time?,2
"Uh, it's been okay. Um, it hasn't been bad. </s> Right. </s> I don't know. Kind of nothing, really. </s> Okay. Similar sort of offending in the past that's brought you back again this time? </s> Yeah.","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,"One of the, um, things that I've learned over the years, Rick, is that a lot of guys get to the doors out there and don't come inside and, um, you've come inside. What does that tell me about you?",4
"I don't know. Kind of nothing, really. </s> Okay. Similar sort of offending in the past that's brought you back again this time? </s> Yeah. </s> One of the, um, things that I've learned over the years, Rick, is that a lot of guys get to the doors out there and don't come inside and, um, you've come inside. What does that tell me about you? </s> Um, I hope that it says that I want to, um, make some changes.","[-1, 2, -1, 4, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"Yeah. </s> One of the, um, things that I've learned over the years, Rick, is that a lot of guys get to the doors out there and don't come inside and, um, you've come inside. What does that tell me about you? </s> Um, I hope that it says that I want to, um, make some changes. </s> Yeah. </s> Mm-hmm.","[-1, 4, -1, 5, -1]",seeker supporter seeker supporter seeker,So is that different from when you've come in here before?,2
"Um, I hope that it says that I want to, um, make some changes. </s> Yeah. </s> Mm-hmm. </s> So is that different from when you've come in here before? </s> Yeah. And I still had to walk through those doors so-","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"Mm-hmm. </s> So is that different from when you've come in here before? </s> Yeah. And I still had to walk through those doors so- </s> Yeah. </s> -but, um, I just think about my kids, you know.","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah. So they're really important to you?,1
"Yeah. And I still had to walk through those doors so- </s> Yeah. </s> -but, um, I just think about my kids, you know. </s> Yeah. So they're really important to you? </s> Yeah.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,Yeah. And do you have your kids with you full-time or-,2
"-but, um, I just think about my kids, you know. </s> Yeah. So they're really important to you? </s> Yeah. </s> Yeah. And do you have your kids with you full-time or- </s> No. No, I don't. I see them, um, once a fortnight.","[-1, 1, -1, 2, -1]",seeker supporter seeker supporter seeker,Okay. And what's it like for you?,3
"Yeah. </s> Yeah. And do you have your kids with you full-time or- </s> No. No, I don't. I see them, um, once a fortnight. </s> Okay. And what's it like for you? </s> It sucks.","[-1, 2, -1, 3, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"No. No, I don't. I see them, um, once a fortnight. </s> Okay. And what's it like for you? </s> It sucks. </s> Mm-hmm. </s> Yeah.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,"What would you really like to happen in terms of, uh, you and your children?",3
"It sucks. </s> Mm-hmm. </s> Yeah. </s> What would you really like to happen in terms of, uh, you and your children? </s> I just-- I'd love to be able to see them whenever I can, whenever I wanted to.","[-1, 5, -1, 3, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"Yeah. </s> What would you really like to happen in terms of, uh, you and your children? </s> I just-- I'd love to be able to see them whenever I can, whenever I wanted to. </s> Yeah. </s> You know. I, um, they're my whole world and-and I've fucked things up.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,Right.,5
"I just-- I'd love to be able to see them whenever I can, whenever I wanted to. </s> Yeah. </s> You know. I, um, they're my whole world and-and I've fucked things up. </s> Right. </s> So, you know.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,"So coming along to see me and you and I are doing some work together, then you're going on to do a program, how important is that gonna be for you and your children?",3
"You know. I, um, they're my whole world and-and I've fucked things up. </s> Right. </s> So, you know. </s> So coming along to see me and you and I are doing some work together, then you're going on to do a program, how important is that gonna be for you and your children? </s> It's really important.","[-1, 5, -1, 3, -1]",seeker supporter seeker supporter seeker,"Mm-hmm. If I was to put it on a scale of say 1 to 100, 1 being not really important, 100 being really, really important, whereabouts on that scale would you you be?",2
"So, you know. </s> So coming along to see me and you and I are doing some work together, then you're going on to do a program, how important is that gonna be for you and your children? </s> It's really important. </s> Mm-hmm. If I was to put it on a scale of say 1 to 100, 1 being not really important, 100 being really, really important, whereabouts on that scale would you you be? </s> It's, uh, um, it's hard because-because I'm, uh, I'm not a bad person. I've just done some stupid shit, but I'm not a bad person.","[-1, 3, -1, 2, -1]",seeker supporter seeker supporter seeker,Right.,5
"It's really important. </s> Mm-hmm. If I was to put it on a scale of say 1 to 100, 1 being not really important, 100 being really, really important, whereabouts on that scale would you you be? </s> It's, uh, um, it's hard because-because I'm, uh, I'm not a bad person. I've just done some stupid shit, but I'm not a bad person. </s> Right. </s> In-in regards to my kids, I'd be100- 100%.","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,Right.,5
"It's, uh, um, it's hard because-because I'm, uh, I'm not a bad person. I've just done some stupid shit, but I'm not a bad person. </s> Right. </s> In-in regards to my kids, I'd be100- 100%. </s> Right. </s> If it means say, I can have my-- see my kids whenever I- whenever I want.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,"Yeah. What do you think it'd be like for your kids if they were sitting here now and they heard you say that this was really, really important to you and to them? That you gave this program 100%. Well, then what might that be like for them to hear that?",3
"In-in regards to my kids, I'd be100- 100%. </s> Right. </s> If it means say, I can have my-- see my kids whenever I- whenever I want. </s> Yeah. What do you think it'd be like for your kids if they were sitting here now and they heard you say that this was really, really important to you and to them? That you gave this program 100%. Well, then what might that be like for them to hear that? </s> Um, I-I-I'd hope that they'd be proud of me. I wouldn't want my kids to see me- to see me here though. But I- But I hope they would be proud of me.","[-1, 5, -1, 3, -1]",seeker supporter seeker supporter seeker,Okay.,5
"If it means say, I can have my-- see my kids whenever I- whenever I want. </s> Yeah. What do you think it'd be like for your kids if they were sitting here now and they heard you say that this was really, really important to you and to them? That you gave this program 100%. Well, then what might that be like for them to hear that? </s> Um, I-I-I'd hope that they'd be proud of me. I wouldn't want my kids to see me- to see me here though. But I- But I hope they would be proud of me. </s> Okay. </s> 'Cause I'm-- Yeah.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,Good. Anybody else in your family that would be really proud of-- that you're taking these steps?,2
"Um, I-I-I'd hope that they'd be proud of me. I wouldn't want my kids to see me- to see me here though. But I- But I hope they would be proud of me. </s> Okay. </s> 'Cause I'm-- Yeah. </s> Good. Anybody else in your family that would be really proud of-- that you're taking these steps? </s> Um, oh, my mom.","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,Yeah. Your is mum still down south?,2
"'Cause I'm-- Yeah. </s> Good. Anybody else in your family that would be really proud of-- that you're taking these steps? </s> Um, oh, my mom. </s> Yeah. Your is mum still down south? </s> Yeah.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,Yeah. Does she know that you're here today?,2
"Um, oh, my mom. </s> Yeah. Your is mum still down south? </s> Yeah. </s> Yeah. Does she know that you're here today? </s> No.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,So how might it be for her if she knew that you're talking like this today? That-- 'Cause it sounds to me like you're really serious this time making some changes.,1
"Yeah. </s> Yeah. Does she know that you're here today? </s> No. </s> So how might it be for her if she knew that you're talking like this today? That-- 'Cause it sounds to me like you're really serious this time making some changes. </s> Yeah, I am.","[-1, 2, -1, 1, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"No. </s> So how might it be for her if she knew that you're talking like this today? That-- 'Cause it sounds to me like you're really serious this time making some changes. </s> Yeah, I am. </s> Yeah. </s> I just, um, I don't- don't know where to s-- where to start. I don't know.","[-1, 1, -1, 5, -1]",seeker supporter seeker supporter seeker,So do you think doing this program and completing this program this time would be a good place to start?,2
"Yeah, I am. </s> Yeah. </s> I just, um, I don't- don't know where to s-- where to start. I don't know. </s> So do you think doing this program and completing this program this time would be a good place to start? </s> Yeah, I hope so. I-- So I would genuinely want to, I genuinely want to do something to help myself. I don't deliberately fuck things up for myself.","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,"Yeah. So you and I are going to be doing a little bit of work together then. And, um, and sometimes it-it can get quite tough. And I'm just wondering before we go any further, when the going gets tough, a lot of guys bail out. I'm just wondering are you one of those guys?",4
"I just, um, I don't- don't know where to s-- where to start. I don't know. </s> So do you think doing this program and completing this program this time would be a good place to start? </s> Yeah, I hope so. I-- So I would genuinely want to, I genuinely want to do something to help myself. I don't deliberately fuck things up for myself. </s> Yeah. So you and I are going to be doing a little bit of work together then. And, um, and sometimes it-it can get quite tough. And I'm just wondering before we go any further, when the going gets tough, a lot of guys bail out. I'm just wondering are you one of those guys? </s> No, this is important to me.","[-1, 2, -1, 4, -1]",seeker supporter seeker supporter seeker,Right.,5
"Yeah, I hope so. I-- So I would genuinely want to, I genuinely want to do something to help myself. I don't deliberately fuck things up for myself. </s> Yeah. So you and I are going to be doing a little bit of work together then. And, um, and sometimes it-it can get quite tough. And I'm just wondering before we go any further, when the going gets tough, a lot of guys bail out. I'm just wondering are you one of those guys? </s> No, this is important to me. </s> Right. </s> I have, um, I've-- it's important to me.","[-1, 4, -1, 5, -1]",seeker supporter seeker supporter seeker,"Good. One of the other things we're really conscious of with is, um, sometimes we do this work in isolation from others. And one of the things we want to ask people is about who they're going to be accountable to. I'm thinking like with your children, uh, your mom and other people that maybe you're interacting with. Who-who else in your life do you think would be supportive of you, and who would you need to let them know that you're actually going through this sort of program?",6
"No, this is important to me. </s> Right. </s> I have, um, I've-- it's important to me. </s> Good. One of the other things we're really conscious of with is, um, sometimes we do this work in isolation from others. And one of the things we want to ask people is about who they're going to be accountable to. I'm thinking like with your children, uh, your mom and other people that maybe you're interacting with. Who-who else in your life do you think would be supportive of you, and who would you need to let them know that you're actually going through this sort of program? </s> I, um, I'm separated at the moment from my missus and-","[-1, 5, -1, 6, -1]",seeker supporter seeker supporter seeker,What was-- what was your partner's name?,2
"I have, um, I've-- it's important to me. </s> Good. One of the other things we're really conscious of with is, um, sometimes we do this work in isolation from others. And one of the things we want to ask people is about who they're going to be accountable to. I'm thinking like with your children, uh, your mom and other people that maybe you're interacting with. Who-who else in your life do you think would be supportive of you, and who would you need to let them know that you're actually going through this sort of program? </s> I, um, I'm separated at the moment from my missus and- </s> What was-- what was your partner's name? </s> Uh, Kirsty.","[-1, 6, -1, 2, -1]",seeker supporter seeker supporter seeker,Kristy.,0
"I, um, I'm separated at the moment from my missus and- </s> What was-- what was your partner's name? </s> Uh, Kirsty. </s> Kristy. </s> I would- I would love f-f-for her to know that I'm doing this and for her to know that I mean it, but, um, I know she wouldn't give a shit right now actually.","[-1, 2, -1, 0, -1]",seeker supporter seeker supporter seeker,"Right. In terms of your employer, would they be supportive?",2
"Uh, Kirsty. </s> Kristy. </s> I would- I would love f-f-for her to know that I'm doing this and for her to know that I mean it, but, um, I know she wouldn't give a shit right now actually. </s> Right. In terms of your employer, would they be supportive? </s> Uh, yeah, I don't know. Maybe, but I don't know if I want them to know though.","[-1, 0, -1, 2, -1]",seeker supporter seeker supporter seeker,Okay. What do you think it might be like for you to explore that with them?,3
"I would- I would love f-f-for her to know that I'm doing this and for her to know that I mean it, but, um, I know she wouldn't give a shit right now actually. </s> Right. In terms of your employer, would they be supportive? </s> Uh, yeah, I don't know. Maybe, but I don't know if I want them to know though. </s> Okay. What do you think it might be like for you to explore that with them? </s> Uh, I don't know.","[-1, 2, -1, 3, -1]",seeker supporter seeker supporter seeker,"Any other family members that, uh, live close that, uh, you think would be supportive?",2
"Uh, yeah, I don't know. Maybe, but I don't know if I want them to know though. </s> Okay. What do you think it might be like for you to explore that with them? </s> Uh, I don't know. </s> Any other family members that, uh, live close that, uh, you think would be supportive? </s> I'm pretty much by myself up here.","[-1, 3, -1, 2, -1]",seeker supporter seeker supporter seeker,"Okay. The reason why I'm asking this, Rick, is just, um, you know, part of, um, uh, being responsible is turning up and doing the program.",4
"Uh, I don't know. </s> Any other family members that, uh, live close that, uh, you think would be supportive? </s> I'm pretty much by myself up here. </s> Okay. The reason why I'm asking this, Rick, is just, um, you know, part of, um, uh, being responsible is turning up and doing the program. </s> Mm-hmm.","[-1, 2, -1, 4, -1]",seeker supporter seeker supporter seeker,"The other aspect of that is kind of like who we're going to be accountable to while we're doing the program. So one of the- one of the challenges, one of the riddle I'm going to put in front of you is like who else can we get involved to support you while you're going through this?",4
"I'm pretty much by myself up here. </s> Okay. The reason why I'm asking this, Rick, is just, um, you know, part of, um, uh, being responsible is turning up and doing the program. </s> Mm-hmm. </s> The other aspect of that is kind of like who we're going to be accountable to while we're doing the program. So one of the- one of the challenges, one of the riddle I'm going to put in front of you is like who else can we get involved to support you while you're going through this? </s> Um, I don't know. I don't, um, have that many people-","[-1, 4, -1, 4, -1]",seeker supporter seeker supporter seeker,Okay.,5
"Mm-hmm. </s> The other aspect of that is kind of like who we're going to be accountable to while we're doing the program. So one of the- one of the challenges, one of the riddle I'm going to put in front of you is like who else can we get involved to support you while you're going through this? </s> Um, I don't know. I don't, um, have that many people- </s> Okay. </s> -that I am-- I don't have that many people I trust to support me. My mates, I love them but, um, yeah, I don't know.","[-1, 4, -1, 5, -1]",seeker supporter seeker supporter seeker,"Okay. So as we're gonna do this work together and go through this, uh, this program, one of the things we-we don't want to do is fall into the same trough we did last time. So I-I just want to leave that with you to think about next time we come together. There may be two or three other people that you think of that can be really supportive, that we-we need to let know that you're [unintelligible 00:10:50] each gonna make these changes and this time, you're serious about it. So let your mother and, uh, and, um, your partner, how might that happen? How does that sound to you?",4
"Um, I don't know. I don't, um, have that many people- </s> Okay. </s> -that I am-- I don't have that many people I trust to support me. My mates, I love them but, um, yeah, I don't know. </s> Okay. So as we're gonna do this work together and go through this, uh, this program, one of the things we-we don't want to do is fall into the same trough we did last time. So I-I just want to leave that with you to think about next time we come together. There may be two or three other people that you think of that can be really supportive, that we-we need to let know that you're [unintelligible 00:10:50] each gonna make these changes and this time, you're serious about it. So let your mother and, uh, and, um, your partner, how might that happen? How does that sound to you? </s> Yeah, let's give it some thought.","[-1, 5, -1, 4, -1]",seeker supporter seeker supporter seeker,"Rick, I get a sense that you're kind of padding this walk a little bit on your own at the moment. Would that be true?",1
"-that I am-- I don't have that many people I trust to support me. My mates, I love them but, um, yeah, I don't know. </s> Okay. So as we're gonna do this work together and go through this, uh, this program, one of the things we-we don't want to do is fall into the same trough we did last time. So I-I just want to leave that with you to think about next time we come together. There may be two or three other people that you think of that can be really supportive, that we-we need to let know that you're [unintelligible 00:10:50] each gonna make these changes and this time, you're serious about it. So let your mother and, uh, and, um, your partner, how might that happen? How does that sound to you? </s> Yeah, let's give it some thought. </s> Rick, I get a sense that you're kind of padding this walk a little bit on your own at the moment. Would that be true? </s> Yeah. That'll definitely be true.","[-1, 4, -1, 1, -1]",seeker supporter seeker supporter seeker,"Your family is down south. I mean,who-who-who else do you think would be really interested in sup-supporting you, rowing with you if you like on this journey?",0
"Yeah, let's give it some thought. </s> Rick, I get a sense that you're kind of padding this walk a little bit on your own at the moment. Would that be true? </s> Yeah. That'll definitely be true. </s> Your family is down south. I mean,who-who-who else do you think would be really interested in sup-supporting you, rowing with you if you like on this journey? </s> Uh, I have a good relationship with my mum,-","[-1, 1, -1, 0, -1]",seeker supporter seeker supporter seeker,Okay.,5
"Yeah. That'll definitely be true. </s> Your family is down south. I mean,who-who-who else do you think would be really interested in sup-supporting you, rowing with you if you like on this journey? </s> Uh, I have a good relationship with my mum,- </s> Okay. </s> -with my brothers and sisters.","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"Uh, I have a good relationship with my mum,- </s> Okay. </s> -with my brothers and sisters. </s> Yeah. </s> My mum is actually pretty important to me.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,"Yeah. How would it be for your mum, do you think, if you were to tell her that this is something that you're-- is really important for you and that you know that this time you really need to do this for her and for the family? What-what might that be like for her to hear?",3
"-with my brothers and sisters. </s> Yeah. </s> My mum is actually pretty important to me. </s> Yeah. How would it be for your mum, do you think, if you were to tell her that this is something that you're-- is really important for you and that you know that this time you really need to do this for her and for the family? What-what might that be like for her to hear? </s> I think she'd be proud of me.","[-1, 5, -1, 3, -1]",seeker supporter seeker supporter seeker,Yeah. All right.,5
"My mum is actually pretty important to me. </s> Yeah. How would it be for your mum, do you think, if you were to tell her that this is something that you're-- is really important for you and that you know that this time you really need to do this for her and for the family? What-what might that be like for her to hear? </s> I think she'd be proud of me. </s> Yeah. All right. </s> Yeah.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,"Brothers and sisters, that, uh, would also be very supportive if you were to make this journey?",2
"I think she'd be proud of me. </s> Yeah. All right. </s> Yeah. </s> Brothers and sisters, that, uh, would also be very supportive if you were to make this journey? </s> Yeah. Yeah. A good, uh, good family.","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,"Good. So how would you go about getting them to support you, to come on board, and be accountable to doing this work together?",3
"Yeah. </s> Brothers and sisters, that, uh, would also be very supportive if you were to make this journey? </s> Yeah. Yeah. A good, uh, good family. </s> Good. So how would you go about getting them to support you, to come on board, and be accountable to doing this work together? </s> Um, I don't know. Um, have some-somebody just to listen.","[-1, 2, -1, 3, -1]",seeker supporter seeker supporter seeker,"And, um, I’m just trying to imagine what do you think your mom would want to say to you if she was sitting here with us now and she heard you talking about this?",3
"Yeah. Yeah. A good, uh, good family. </s> Good. So how would you go about getting them to support you, to come on board, and be accountable to doing this work together? </s> Um, I don't know. Um, have some-somebody just to listen. </s> And, um, I’m just trying to imagine what do you think your mom would want to say to you if she was sitting here with us now and she heard you talking about this? </s> She would- she would tell me that she loves me. She would tell me that she believes that I could do it.","[-1, 3, -1, 3, -1]",seeker supporter seeker supporter seeker,"Mm. What do you think she might want for you, like upon her for your children?",3
"Um, I don't know. Um, have some-somebody just to listen. </s> And, um, I’m just trying to imagine what do you think your mom would want to say to you if she was sitting here with us now and she heard you talking about this? </s> She would- she would tell me that she loves me. She would tell me that she believes that I could do it. </s> Mm. What do you think she might want for you, like upon her for your children? </s> For them to have a father they can look up to.","[-1, 3, -1, 3, -1]",seeker supporter seeker supporter seeker,I’m getting a strong sense that's what you want as well.,1
"She would- she would tell me that she loves me. She would tell me that she believes that I could do it. </s> Mm. What do you think she might want for you, like upon her for your children? </s> For them to have a father they can look up to. </s> I’m getting a strong sense that's what you want as well. </s> It is what I want. Definitely.","[-1, 3, -1, 1, -1]",seeker supporter seeker supporter seeker,"So, in terms of having the confidence to do this with the support of your whānau and ours, where do you think your confidence level might be now?",2
"For them to have a father they can look up to. </s> I’m getting a strong sense that's what you want as well. </s> It is what I want. Definitely. </s> So, in terms of having the confidence to do this with the support of your whānau and ours, where do you think your confidence level might be now? </s> If I had their support of my-my family and [silence] I want to say that would be higher. I just know I fucked it up in the past. If they were there to support me now, then I’d be 99% sure.","[-1, 1, -1, 2, -1]",seeker supporter seeker supporter seeker,"That's a huge move up the scale, isn't it? So getting your family on board, getting your whānau on board is going to be really important for us.",1
<START>,[-1],None,"Kia ora, Ricky, welcome back.",5
"<START> </s> Kia ora, Ricky, welcome back. </s> Kia ora.","[-1, 5, -1]",None supporter seeker,Good. Are you okay today?,2
"<START> </s> Kia ora, Ricky, welcome back. </s> Kia ora. </s> Good. Are you okay today? </s> Yeah, yeah fine.","[-1, 5, -1, 2, -1]",None supporter seeker supporter seeker,"All right. So where we left last time, you were going away to think about a few things and to, um, develop some sort of plan of action. How'd it go? What were you up to?",3
"Kia ora. </s> Good. Are you okay today? </s> Yeah, yeah fine. </s> All right. So where we left last time, you were going away to think about a few things and to, um, develop some sort of plan of action. How'd it go? What were you up to? </s> Actually, it's been pretty good. I, um, I talked to my mom, which, uh-","[-1, 2, -1, 3, -1]",seeker supporter seeker supporter seeker,Right.,5
"Yeah, yeah fine. </s> All right. So where we left last time, you were going away to think about a few things and to, um, develop some sort of plan of action. How'd it go? What were you up to? </s> Actually, it's been pretty good. I, um, I talked to my mom, which, uh- </s> Right. </s> -which is a big deal. And, uh, she was excellent. Um, I knew she would be. Um, and, uh, I've made an appointment for the, uh, for Stopping Violence and [unintelligible 00:16:15]","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,"Good to know, excellent.",5
"Actually, it's been pretty good. I, um, I talked to my mom, which, uh- </s> Right. </s> -which is a big deal. And, uh, she was excellent. Um, I knew she would be. Um, and, uh, I've made an appointment for the, uh, for Stopping Violence and [unintelligible 00:16:15] </s> Good to know, excellent. </s> Um, I've cut down on the drink. I haven't stopped drinking, but, uh-- Yeah, so, uh, it's okay.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Things are looking pretty good.,0
"-which is a big deal. And, uh, she was excellent. Um, I knew she would be. Um, and, uh, I've made an appointment for the, uh, for Stopping Violence and [unintelligible 00:16:15] </s> Good to know, excellent. </s> Um, I've cut down on the drink. I haven't stopped drinking, but, uh-- Yeah, so, uh, it's okay. </s> Things are looking pretty good. </s> Yeah.","[-1, 5, -1, 0, -1]",seeker supporter seeker supporter seeker,"So you've rung your mom, had a chat to her.",5
"Um, I've cut down on the drink. I haven't stopped drinking, but, uh-- Yeah, so, uh, it's okay. </s> Things are looking pretty good. </s> Yeah. </s> So you've rung your mom, had a chat to her. </s> Mm-hmm.","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,Any other whānau members? You talked about your brothers and sisters last time.,2
"Yeah. </s> So you've rung your mom, had a chat to her. </s> Mm-hmm. </s> Any other whānau members? You talked about your brothers and sisters last time. </s> Uh, I didn't speak to my brothers and sisters this time, I just spoke to my mom, but, uh, she, uh, she suggested that I go and stay with my, uh, auntie and my uncle. Uh—","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,Here in Christchurch?,2
"Mm-hmm. </s> Any other whānau members? You talked about your brothers and sisters last time. </s> Uh, I didn't speak to my brothers and sisters this time, I just spoke to my mom, but, uh, she, uh, she suggested that I go and stay with my, uh, auntie and my uncle. Uh— </s> Here in Christchurch? </s> Yeah.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,Okay.,5
"Uh, I didn't speak to my brothers and sisters this time, I just spoke to my mom, but, uh, she, uh, she suggested that I go and stay with my, uh, auntie and my uncle. Uh— </s> Here in Christchurch? </s> Yeah. </s> Okay. </s> I'm not sure.","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,No?,2
"Yeah. </s> Okay. </s> I'm not sure. </s> No? </s> I'm not sure, I'm thinking about it.","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,What are you not sure about?,3
"I'm not sure. </s> No? </s> I'm not sure, I'm thinking about it. </s> What are you not sure about? </s> Well, I'm not sure if I want to live with my auntie and uncle. [chuckles] Um, I think, yeah, I'll probably need to. I think probably living with, uh, with my mate in his flat is probably not that helpful.","[-1, 2, -1, 3, -1]",seeker supporter seeker supporter seeker,"Okay. Just sort of interested, when you rang your mom and, um, told her what's happening, how difficult was it to talk about the issue of violence and being violent towards your partner?",3
